model,power,type,ratio,motor_shaft_diameter,motor_frame_size,rpm,nm,sf,overhead_load,MODEL_NUMBER,
102,0.25 HP,,47,11,63,31,84,1.6,3600,MA_102471163,
102,0.25 HP,,35,11,63,41,65,1.8,3400,MA_102351163,
102,0.25 HP,,29,11,63,50,52,1.9,3250,MA_102291163,
102,0.25 HP,,24,11,63,60,46,22,3140,MA_102241163,
102,0.25 HP,,20,11,63,72,35,2.4,3000,MA_102201163,
102,0.25 HP,,17,11,63,85,32,2.6,2950,MA_102171163,
102,0.25 HP,,15,11,63,96,26,27,2800,MA_102151163,-
102,0.25 HP,,10,11,63,144,20,2.8,2700,MA_102101163,
102,0.25 HP,,8.6,11,63,167,18,3,2500,MA_10286'1163,
102,0.25 HP,,6.7,11,63,215,15,3.2,2500,MA_10267'1163,
102,0.25 HP,,4.6,11,63,313,11,3.5,2350,MA_10246'1163,
102,0.25 HP,,22,11,63,655,8,4,2250,MA_10222'1163,
102,0.37 HP,,47,14,71,31,120,1,3200,MA_102471471,
102,0.37 HP,,35,14,71,41,90,1.1,3100,MA_102351471,
102,0.37 HP,,29,14,71,50,76,1.3,3100,MA_102291471,
102,0.37 HP,,24,14,71,60,65,1.5,3100,MA_102241471,
102,0.37 HP,,20,14,71,72,56,1.6,3100,MA_102201471,
102,0.37 HP,,17,14,71,85,45,1.8,2900,MA_102171471,
102,0.37 HP,,15,14,71,96,40,2.1,2900,MA_102151471,
102,0.37 HP,,10,14,71,144,29,2.6,2650,MA_102101471,
102,0.37 HP,,8.6,14,71,167,25,3,2500,MA_10286'1471,
102,0.37 HP,,6.7,14,71,215,20,3.5,2450,MA_10267'1471,
102,0.37 HP,,4.6,14,71,313,14,4.3,2350,MA_102467471,
102,0.37 HP,,2.2,14,71,655,7,5.6,2200,MA_102227471,
102,0.5 HP,,29,14,71,50,110,0.8,2800,MA_102291471,
102,0.5 HP,,24,14,71,60,93,1,2700,MA_102241471,
102,0.5 HP,,20,14,71,72,85,1.3,2700,MA_102201471,
102,0.5 HP,,17,14,71,85,66,1.6,2700,MA_102171471,
102,0.5 HP,,15,14,71,96,54,1.9,2600,MA_102151471,
102,0.5 HP,,10,14,71,144,40,2,2550,MA_102101471,
102,0.5 HP,,8.6,14,71,167,35,2.3,2450,MA_10286'1471,
102,0.5 HP,,6.7,14,71,215,28,2.8,2400,MA_10267'1471,
102,0.5 HP,,4.6,14,71,313,21,3.3,2150,MA_10246'1471,
102,0.5 HP,,2.2,14,71,655,10,5.2,2100,MA_10222'1471,
102,0.75 HP,,17,19,80,85,88,0.9,2600,MA_102171980,
102,0.75 HP,,15,19,80,96,75,1.1,2500,MA_102151980,
102,0.75 HP,,10,19,80,144,56,13,2500,MA_102101980,
102,0.75 HP,,8.6,19,80,167,48,1.5,2400,MA_10286'1980,
102,0.75 HP,,6.7,19,80,215,38,1.7,2300,MA_10267'1960,
102,0.75 HP,,4.6,19,80,313,27,2.4,2200,MA_10246'1980,
102,0.75 HP,,2.2,19,80,655,15,4,2000,MA_10222'1980,
128,0.37 HP,,100,14,71,14,25.5,0.8,4800,MA_1281001471,
128,0.37 HP,,70,14,71,21,180,1.1,5350,MA_128701471,
128,0.37 HP,,67,14,71,21,168,1.1,5350,MA_128671471,
128,0.37 HP,,51,14,71,28,130,1.6,5100,MA_128511471,
128,0.37 HP,,47,14,71,31,120,1.6,5050,MA_128471471,
128,0.37 HP,,40,14,71,36,104,1.6,4900,MA_128401471,
128,0.37 HP,,34,14,71,42,86,2,4750,MA_128341471,
128,0.37 HP,,27,14,71,53,69,2.3,4500,MA_128271471,
128,0.37 HP,,22.2,14,71,65,57,2.9,4350,MA_128222'1471,
128,0.37 HP,,20.5,14,71,70,52,3.1,4200,MA_128205'1471,
128,0.37 HP,,18,14,71,80,46,3.9,4100,MA_128181471,
128,0.37 HP,,13.5,14,71,107,34,3.9,3900,MA_128135'1471,
128,0.37 HP,,11,14,71,131,26,4.8,3750,MA_128111471,
128,0.37 HP,,9.2,14,71,157,23,5,3700,MA_12892'1471,
128,0.37 HP,,7.3,14,71,197,20,5.3,3600,MA_12873'1471,
128,0.37 HP,,5.6,14,71,257,14,7.1,3400,MA_12856'1471,
128,0.37 HP,,4.5,14,71,320,12,8.4,3250,MA_12845'1471,
128,0.37 HP,,35,14,71,411,9,9.5,3200,MA_12835'1471,
128,0.37 HP,,21,14,71,686,6,9.5,3950,MA_12821'1471,
128,0.75 HP,,51,19,80,28,261,0.8,4400,MA_128511980,
128,0.75 HP,,47,19,80,31,240,0.8,4500,MA_128471980,
128,0.75 HP,,40,19,80,36,210,0.9,4050,MA_128401980,
128,0.75 HP,,34,19,80,42,174,1,4250,MA_128341980,
128,0.75 HP,,27,19,80,53,140,1.2,4100,MA_128271980,
128,0.75 HP,,22.2,19,80,65,115,1.4,3950,MA_128222'1980,
128,0.75 HP,,20.5,19,80,70,105,1.4,3800,MA_128205'1980,
128,0.75 HP,,18,19,80,80,92,2,3800,MA_128181980,
128,0.75 HP,,13.5,19,80,107,62,2,3650,MA_128135'1980,
128,0.75 HP,,11,19,80,131,51,2.2,3600,MA_128111980,
128,0.75 HP,,9.2,19,80,157,48,2.5,3550,MA_12892'1980,
128,0.75 HP,,7.3,19,80,197,41,2.6,3450,MA_12873'1980,
128,0.75 HP,,5.6,19,80,257,28,2.9,3300,MA_12856'1980,
128,0.75 HP,,4.5,19,80,320,23,3.5,3150,MA_12845'1980,
128,0.75 HP,,3.5,19,80,411,19,4.2,3100,MA_12835'1980,
128,0.75 HP,,2.1,19,80,686,11,4.7,3900,MA_12821'1980,
128,1.1 HP,,27,24,90,53,202,0.8,3500,MA_128272490,
128,1.1 HP,,22.2,24,90,65,167,1,3500,MA_128222'2490,
128,1.1 HP,,20.5,24,90,70,152,1,3500,MA_128205'2490,
128,1.1 HP,,18,24,90,80,134,1.4,3500,MA_128182490,
128,1.1 HP,,13.5,24,90,107,90,1.4,3500,MA_128135'2490,
128,1.1 HP,,11,24,90,131,76,1.6,3450,MA_128112490,
128,1.1 HP,,9.2,24,90,157,69,1.7,3400,MA_12892'2490,
128,1.1 HP,,7.3,24,90,197,60,1.8,3300,MA_12873'2490,
128,1.1 HP,,5.6,24,90,257,42,24,3200,MA_12856'2490,
128,1.1 HP,,4.5,24,90,320,34,2.9,3050,MA_12845'2490,
128,1.1 HP,,3.5,24,90,411,27,3.3,3000,MA_12835'2490,
128,1.1 HP,,21,24,90,686,16,3.3,2850,MA_12821'2490,
128,1.5 HP,,20.5,24,90,70,185,0.8,3300,MA_128205'2490,
128,1.5 HP,,18,24,90,80,182,1,3300,MA_128182490,
128,1.5 HP,,13.5,24,90,107,125,1,3300,MA_128135'2490,
128,1.5 HP,,11,24,90,131,102,1.2,3250,MA_128112490,
128,1.5 HP,,9.2,24,90,157,94,13,3250,MA_12892'2490,
128,1.5 HP,,7.3,24,90,197,82,1.4,3250,MA_12873'2490,
128,1.5 HP,,5.6,24,90,257,56,1.8,3150,MA_12856'2490,
128,1.5 HP,,4.5,24,90,320,46,2.1,3000,MA_12845'2490,
128,1.5 HP,,3.5,24,90,411,37,2.4,3000,MA_12835'2490,
128,1.5 HP,,21,24,90,686,22,24,2800,MA_12821'2490,
142,0.75 HP,,45,19,80,32,230,1.2,6050,MA_142451980,
142,0.75 HP,,36,19,80,40,185,1.6,5800,MA_142361980,
142,0.75 HP,,28,19,80,51,145,1.8,5500,MA_142281980,
142,0.75 HP,,23,19,80,63,125,2,5300,MA_142231980,
142,0.75 HP,,18,19,80,80,96,2.5,5150,MA_142181980,
142,0.75 HP,,15,19,80,96,76,2.5,5000,MA_142151980,
142,0.75 HP,,11.5,19,80,125,62,2.6,4850,MA_142115'1980,
142,0.75 HP,,9.8,19,80,147,56,28,4750,MA_14298'1980,
142,1.1 HP,,45,24,90,32,335,0.8,5600,MA_142452490,
142,1.1 HP,,36,24,90,40,270,1.1,5350,MA_142362490,
142,1.1 HP,,28,24,90,51,210,1.5,5200,MA_142282490,
142,1.1 HP,,23,24,90,63,176,1.6,5050,MA_142232490,
142,1.1 HP,,18,24,90,80,138,1.9,4900,MA_142182490,
142,1.1 HP,,15,24,90,96,115,2,4900,MA_142152490,..
142,1.1 HP,,11.5,24,90,125,90,23,4750,MA_142115'2490,
142,1.1 HP,,9.8,24,90,147,75,2.7,4630,MA_14298'2490,
142,1.1 HP,,7,24,90,206,55,3,4450,MA_14272490,
142,1.1 HP,,5.5,24,90,262,44,3.2,4300,MA_14255'2490,
142,1.1 HP,,3.5,24,90,411,28,3.6,4050,MA_14235'2490,
142,1.1 HP,,2.7,24,90,533,22,3.6,3900,MA_14227'2490,
142,1.5 HP,,36,24,90,40,368,0.8,4670,MA_142362490,
142,1.5 HP,,28,24,90,51,285,1.1,4670,MA_142282490,
142,1.5 HP,,23,24,90,63,242,1.2,4670,MA_142232490,
142,1.5 HP,,18,24,90,80,190,1.4,4670,MA_142182490,
142,1.5 HP,,15,24,90,96,156,1.5,4670,MA_142152490,
142,1.5 HP,,11.5,24,90,125,122,1.7,4550,MA_142115'2490,
142,1.5 HP,,9.8,24,90,147,105,2,4450,MA_14298'2490,
142,1.5 HP,,7,24,90,206,76,22,4350,MA_14272490,
142,1.5 HP,,5.5,24,90,262,59,2.3,4250,MA_14255'2490,
142,1.5 HP,,3.5,24,90,411,39,27,4000,MA_14235'2490,
142,1.5 HP,,2.7,24,90,533,30,2.7,3850,MA_14227'2490,
142,2.2 HP,,23,28,100,63,349,0.8,4250,MA_1422328100,
